ticker,company_name,sector,market_cap
DUM01,Dummy Corp 1,Energy,18634.91
DUM02,Dummy Corp 2,Consumer,23075.46
DUM03,Dummy Corp 3,Healthcare,39366.21
DUM04,Dummy Corp 4,Consumer,10383.85
DUM05,Dummy Corp 5,Consumer,25954.6
DUM06,Dummy Corp 6,Financials,29824.52
DUM07,Dummy Corp 7,Healthcare,2799.3
DUM08,Dummy Corp 8,Healthcare,30573.47
DUM09,Dummy Corp 9,Healthcare,8940.94
DUM10,Dummy Corp 10,Consumer,3720.05
DUM11,Dummy Corp 11,Energy,47469.83
DUM12,Dummy Corp 12,Healthcare,48298.79
DUM13,Dummy Corp 13,Consumer,40515.67
DUM14,Dummy Corp 14,Financials,15578.38
DUM15,Dummy Corp 15,Energy,5334.77
DUM16,Dummy Corp 16,Financials,34369.53
DUM17,Dummy Corp 17,Energy,22287.55
DUM18,Dummy Corp 18,Consumer,6540.89
DUM19,Dummy Corp 19,Technology,25011.26
DUM20,Dummy Corp 20,Energy,2202.23
DUM21,Dummy Corp 21,Financials,45511.36
DUM22,Dummy Corp 22,Consumer,13309.61
DUM23,Dummy Corp 23,Energy,33294.85
DUM24,Dummy Corp 24,Technology,15929.7
DUM25,Dummy Corp 25,Technology,26243.37
DUM26,Dummy Corp 26,Healthcare,27562.16
DUM27,Dummy Corp 27,Healthcare,9650.3
DUM28,Dummy Corp 28,Financials,48494.44
DUM29,Dummy Corp 29,Energy,38869.07
DUM30,Dummy Corp 30,Energy,47005.2
